"DateTime","Temperature","Dew Point","Relative Humidity"
"2022-02-05 22:51:00",19.04,5.88,56.31
"2022-02-07 10:51:00",33.98,31.96,92.35
"2022-02-08 08:51:00",37.04,31.93,81.79
"2022-02-10 15:51:00",51.08,19.71,28.99
"2022-02-13 01:51:00",39.92,21.7,48.17
"2022-02-13 19:51:00",28.04,16.9,62.91
"2022-02-16 04:51:00",30.92,10.69,42.73
"2022-02-18 08:51:00",46.04,30.76,55.3
"2022-02-20 13:51:00",33.08,5.81,31.44
"2022-02-22 12:51:00",53.06,41.97,66.19
"2022-02-24 09:51:00",30.02,10.69,44.32
"2022-02-25 11:56:00",32,30.9,95.72
"2022-02-27 12:51:00",42.98,14.83,31.88
"2022-03-01 19:51:00",46.04,36.93,70.64
"2022-03-04 01:51:00",23,-0.31,35.81
"2022-03-06 09:19:00",51.08,46.89,85.68
"2022-03-08 07:51:00",39.92,17.73,40.67
"2022-03-10 00:34:00",33.98,30.87,88.4
"2022-03-11 23:51:00",46.04,40.95,82.46
"2022-03-12 18:05:00",24.08,15.85,70.75
"2022-03-14 17:51:00",51.98,27.84,39.38
"2022-03-17 01:40:00",46.94,42.03,83.1
"2022-03-18 04:51:00",51.08,48.9,92.29
"2022-03-19 19:51:00",66.92,52.99,61.08
"2022-03-22 01:51:00",51.98,23.86,33.42
"2022-03-24 03:59:00",39.92,37.9,92.55
"2022-03-25 10:51:00",53.06,41.97,66.19
"2022-03-27 17:51:00",37.04,22.82,56.43
"2022-03-30 00:51:00",32,7.79,35.93
"2022-03-31 19:29:00",60.08,53.01,77.61
"2022-04-02 06:51:00",39.02,19.71,45.86
"2022-04-04 13:51:00",53.06,25.84,34.88
"2022-04-06 12:30:00",48.92,46,89.74
"2022-04-07 21:46:00",53.6,51.78,93.6
"2022-04-09 01:51:00",51.98,34.9,52.32
"2022-04-10 20:51:00",44.96,22.77,41.53
"2022-04-13 03:51:00",57.02,45.95,66.67
"2022-04-15 08:51:00",57.02,30.74,36.87
"2022-04-17 13:51:00",48.92,17.73,28.86
"2022-04-19 07:02:00",39.92,37,89.33
"2022-04-21 11:51:00",57.92,32.92,38.95
"2022-04-23 17:51:00",59,33.82,38.85
"2022-04-26 00:43:00",53.06,38.89,58.78
"2022-04-27 20:51:00",44.96,20.79,38.19
"2022-04-30 03:51:00",46.04,15.73,29.51
"2022-05-02 06:48:00",51.8,49.98,93.55
"2022-05-03 09:51:00",57.92,46.85,66.78
"2022-05-05 07:51:00",57.92,47.93,69.55
"2022-05-06 23:51:00",50,48,92.87
"2022-05-08 13:51:00",57.92,32.92,38.95
"2022-05-10 20:51:00",62.96,23.94,22.51
"2022-05-12 14:51:00",73.94,57.88,57.39
"2022-05-14 01:16:00",60.08,59,96.23
"2022-05-15 02:23:00",60.08,59,96.23
"2022-05-16 09:51:00",71.96,64.02,76.19
"2022-05-18 17:51:00",71.06,35.89,27.63
"2022-05-20 00:51:00",55.94,53.02,90.04
"2022-05-21 06:25:00",62.06,60.98,96.26
"2022-05-23 07:51:00",62.06,47.93,60.03
"2022-05-25 14:51:00",68,45.95,45.31
"2022-05-27 11:51:00",75.02,64.92,70.95
"2022-05-28 20:51:00",66.92,60.94,81.25
"2022-05-31 03:51:00",75.02,64.92,70.95
"2022-06-01 22:20:00",60.98,58.98,93.2
"2022-06-02 20:10:00",66.92,66.02,96.94
"2022-06-04 03:51:00",64.04,47.93,56
"2022-06-06 10:51:00",73.94,44.02,34.36
"2022-06-08 20:51:00",75.92,55.02,48.42
"2022-06-10 07:51:00",64.94,51.91,62.87
"2022-06-12 10:08:00",64.04,60.06,86.98
"2022-06-14 05:51:00",69.08,49.93,50.66
"2022-06-16 07:51:00",62.06,60.98,96.26
"2022-06-18 03:51:00",73.04,49.96,44.3
"2022-06-20 10:51:00",66.92,45.95,47.03
"2022-06-22 12:58:00",66.02,58.96,78.12
"2022-06-23 18:51:00",71.06,57.88,63.24
"2022-06-25 07:51:00",71.96,62.02,71.07
"2022-06-27 12:18:00",73.94,71.06,90.75
"2022-06-29 07:51:00",71.06,58.96,65.73
"2022-07-01 13:51:00",89.06,65.05,45.04
"2022-07-03 20:51:00",80.06,44.11,28.07
"2022-07-05 23:01:00",71.06,68,90.09
"2022-07-08 04:51:00",68,64.02,87.18
"2022-07-10 04:41:00",69.08,54.99,60.97
"2022-07-12 06:12:00",71.06,64.92,81.04
"2022-07-14 11:51:00",82.04,63,52.57
"2022-07-16 11:51:00",82.04,64.98,56.34
"2022-07-18 07:13:00",69.08,68,96.37
"2022-07-18 23:20:00",77,71.96,84.51
"2022-07-21 05:51:00",78.98,71.06,76.8
"2022-07-23 09:51:00",84.02,64.09,51.23
"2022-07-25 14:51:00",78.08,75.02,90.36
"2022-07-28 02:51:00",78.08,69.08,73.95
"2022-07-30 03:51:00",75.02,64.02,68.75
"2022-08-01 04:37:00",69.08,66.92,92.85
"2022-08-02 18:51:00",87.08,65.03,47.95
"2022-08-05 05:51:00",78.98,66.92,66.66
"2022-08-07 08:51:00",80.96,73.06,76.97
"2022-08-09 10:51:00",89.06,72.05,57.29
"2022-08-11 08:51:00",73.94,71.96,93.56
"2022-08-13 15:51:00",78.08,46.06,32.29
"2022-08-15 22:51:00",71.06,54.99,56.99
"2022-08-18 01:51:00",64.04,60.06,86.98
"2022-08-20 08:51:00",78.98,64.04,60.32
"2022-08-22 04:51:00",73.04,69.98,90.17
"2022-08-23 04:35:00",73.04,71.06,93.54
"2022-08-24 17:51:00",87.08,54.09,32.42
"2022-08-26 20:51:00",82.94,62.11,49.48
"2022-08-28 19:31:00",75.92,66.9,73.74
"2022-08-30 09:02:00",78.08,69.98,76.26
"2022-09-01 10:51:00",78.08,53.06,41.94
"2022-09-03 17:51:00",75.92,60.06,58.04
"2022-09-05 22:51:00",73.94,67.98,81.76
"2022-09-06 21:44:00",68,66.02,93.4
"2022-09-08 13:51:00",75.92,57,52.02
"2022-09-10 20:51:00",75.02,53.94,47.97
"2022-09-12 05:51:00",69.08,66.92,92.85
"2022-09-13 05:36:00",71.96,69.98,93.51
"2022-09-15 01:51:00",71.06,58.96,65.73
"2022-09-17 08:51:00",66.02,54.99,67.74
"2022-09-19 15:51:00",82.94,57.97,42.7
"2022-09-21 18:51:00",73.04,60.96,65.97
"2022-09-23 11:51:00",57.92,35.8,43.69
"2022-09-25 18:51:00",66.02,57.88,75.16
"2022-09-27 19:51:00",64.04,44.85,49.89
