"DateTime","Temperature","Dew Point","Relative Humidity"
"2024-04-05 12:51:00",46.94,24.76,41.86
"2024-04-05 21:51:00",44.06,26.76,50.7
"2024-04-06 08:51:00",44.96,30.76,57.61
"2024-04-06 19:51:00",51.08,26.74,38.94
"2024-04-07 06:51:00",44.06,29.86,57.48
"2024-04-07 17:51:00",57.92,25.88,29.24
"2024-04-08 04:51:00",44.96,26.76,48.99
"2024-04-08 15:51:00",62.96,19.81,18.9
"2024-04-09 02:51:00",59,32.92,37.47
"2024-04-09 13:51:00",78.08,37.08,22.81
"2024-04-10 00:51:00",59,40.87,51.21
"2024-04-10 11:51:00",60.08,45.93,59.76
"2024-04-10 20:51:00",53.96,45.97,74.5
"2024-04-11 03:51:00",51.08,45.99,82.82
"2024-04-11 09:41:00",53.06,49.96,89.32
"2024-04-11 19:51:00",60.98,57.9,89.67
"2024-04-12 03:44:00",60.08,57.9,92.58
"2024-04-12 07:51:00",57.92,55.02,90.12
"2024-04-12 12:51:00",60.08,55,83.43
"2024-04-12 20:51:00",59,39.78,49.1
"2024-04-13 07:51:00",50,35.82,58.34
"2024-04-13 18:51:00",53.06,30.74,42.58
"2024-04-14 05:51:00",48.92,30.74,49.63
"2024-04-14 16:51:00",73.04,38.98,29.15
"2024-04-15 03:51:00",62.06,51.91,69.55
"2024-04-15 14:51:00",80.06,39.07,23.1
"2024-04-16 01:51:00",57.02,34.9,43.54
"2024-04-16 12:51:00",68,25.99,20.53
"2024-04-16 23:51:00",60.08,34.92,39.03
"2024-04-17 10:51:00",60.98,39.79,45.77
"2024-04-17 20:51:00",51.98,43.97,74.3
"2024-04-18 01:51:00",50,44.91,82.74
"2024-04-18 12:51:00",46.94,40.93,79.7
"2024-04-18 19:51:00",46.94,36.93,68.28
"2024-04-19 02:51:00",46.94,37.83,70.74
"2024-04-19 12:40:00",57.92,40.87,53.22
"2024-04-19 18:08:00",51.98,41.97,68.87
"2024-04-20 02:51:00",51.08,44.89,79.49
"2024-04-20 08:51:00",51.98,48.88,89.27
"2024-04-20 18:51:00",64.94,26.83,23.68
"2024-04-21 05:51:00",42.08,25.86,52.7
"2024-04-21 16:51:00",51.98,20.8,29.37
"2024-04-22 03:51:00",44.06,23.86,44.97
"2024-04-22 14:51:00",62.96,20.89,19.79
"2024-04-23 01:51:00",48.02,27.84,45.63
"2024-04-23 12:51:00",62.96,25.92,24.45
"2024-04-23 23:51:00",51.98,27.84,39.38
"2024-04-24 10:51:00",62.96,39.79,42.68
"2024-04-24 21:51:00",59,37.8,45.45
"2024-04-25 08:51:00",46.04,19.71,35.01
"2024-04-25 19:51:00",46.94,30.74,53.45
"2024-04-26 06:51:00",44.06,34.95,70.41
"2024-04-26 17:51:00",55.04,23.88,29.88
"2024-04-27 04:51:00",46.94,30.74,53.45
"2024-04-27 15:51:00",60.08,24.82,25.88
"2024-04-28 02:51:00",53.06,42.87,68.52
"2024-04-28 10:51:00",60.98,47.93,62.36
"2024-04-28 21:51:00",69.98,56.97,63.51
"2024-04-29 08:51:00",71.96,60.04,66.26
"2024-04-29 19:51:00",68,57.88,70.2
"2024-04-30 03:51:00",59,53.01,80.66
"2024-04-30 12:01:00",60.08,49.93,69.32
"2024-04-30 19:51:00",55.04,48.87,79.81
"2024-05-01 04:51:00",53.96,51.04,89.96
"2024-05-01 10:51:00",66.92,53.91,63.13
"2024-05-01 21:36:00",57.02,51.03,80.51
"2024-05-02 05:51:00",53.96,49.96,86.42
"2024-05-02 14:51:00",75.92,57,52.02
"2024-05-03 01:51:00",60.98,49.93,67.15
"2024-05-03 11:51:00",57.02,44.85,64
"2024-05-03 21:51:00",51.98,44.89,76.89
"2024-05-04 08:51:00",55.04,43.95,66.43
"2024-05-04 19:51:00",53.96,41.97,64.04
"2024-05-05 03:51:00",50,41.99,74.1
"2024-05-05 12:51:00",51.98,46.89,82.88
"2024-05-05 17:51:00",51.98,49.98,92.94
"2024-05-05 22:02:00",53.06,51.06,92.97
"2024-05-06 01:51:00",53.06,51.96,96.11
"2024-05-06 05:51:00",53.96,51.96,93
"2024-05-06 12:51:00",64.94,57.88,78.03
"2024-05-06 19:51:00",69.08,60.94,75.44
"2024-05-07 06:51:00",60.98,47.93,62.36
"2024-05-07 17:51:00",73.94,44.92,35.56
"2024-05-08 04:51:00",66.92,60.04,78.7
"2024-05-08 08:42:00",66.02,64.02,93.34
"2024-05-08 17:51:00",82.94,55.99,39.76
"2024-05-09 04:51:00",64.04,48.83,57.92
"2024-05-09 15:51:00",68,44.87,43.49
"2024-05-10 01:51:00",55.04,46.87,74.1
"2024-05-10 05:51:00",50,46.9,89.18
"2024-05-10 10:06:00",50,45.99,86.2
"2024-05-10 15:51:00",51.98,40.89,66.05
"2024-05-10 23:00:00",48.92,46,89.74
"2024-05-11 07:51:00",51.08,45.99,82.82
"2024-05-11 18:51:00",53.06,40.87,63.48
"2024-05-12 05:51:00",50,41.99,74.1
"2024-05-12 11:51:00",50,46.9,89.18
"2024-05-12 18:51:00",53.06,43.97,71.41
"2024-05-13 05:51:00",50,45.99,86.2
"2024-05-13 12:51:00",62.96,48.83,60.15
"2024-05-13 22:51:00",57.02,51.94,83.23
"2024-05-14 09:51:00",64.04,53.91,69.77
"2024-05-14 20:51:00",64.04,58.96,83.69
"2024-05-15 03:01:00",60.08,59,96.23
"2024-05-15 05:51:00",59,57.92,96.21
"2024-05-15 09:31:00",60.08,59,96.23
"2024-05-15 14:51:00",62.06,55.9,80.37
"2024-05-15 21:26:00",59,57,93.14
"2024-05-16 03:51:00",59,57,93.14
"2024-05-16 06:13:00",59,57,93.14
"2024-05-16 10:51:00",60.98,56.98,86.81
"2024-05-16 20:35:00",62.06,56.98,83.56
"2024-05-17 02:51:00",60.08,51.91,74.59
"2024-05-17 10:51:00",64.94,51.01,60.82
"2024-05-17 21:51:00",62.96,53.01,70.11
"2024-05-18 08:51:00",64.04,47.93,56
"2024-05-18 19:51:00",62.06,58.98,89.71
"2024-05-19 00:51:00",60.08,57,89.63
"2024-05-19 08:51:00",62.96,53.91,72.45
"2024-05-19 16:51:00",71.06,54.99,56.99
"2024-05-20 03:51:00",55.94,51.94,86.54
"2024-05-20 11:51:00",71.96,53.91,53.15
"2024-05-20 22:51:00",62.06,54.99,77.79
"2024-05-21 09:51:00",68,57.88,70.2
"2024-05-21 20:51:00",73.04,60.06,63.9
"2024-05-22 07:51:00",69.08,57.88,67.65
"2024-05-22 18:51:00",75.92,60.06,58.04
"2024-05-23 05:51:00",71.06,62.02,73.27
"2024-05-23 10:51:00",69.98,66.9,90.04
"2024-05-23 21:51:00",73.94,62.04,66.5
"2024-05-24 08:51:00",73.04,57.88,59.15
"2024-05-24 19:51:00",80.96,44.11,27.26
"2024-05-25 06:51:00",66.92,48.85,52.41
"2024-05-25 17:51:00",73.94,49.96,42.98
"2024-05-26 04:51:00",66.92,60.04,78.7
"2024-05-26 15:51:00",78.08,64.04,62.13
"2024-05-26 23:31:00",68,64.92,89.96
"2024-05-27 05:51:00",68,64.92,89.96
"2024-05-27 09:51:00",69.08,66.92,92.85
"2024-05-27 14:01:00",69.08,66,90.01
"2024-05-27 15:16:00",69.08,66.92,92.85
"2024-05-27 17:59:00",68,66.92,96.35
"2024-05-27 23:51:00",68,64.92,89.96
"2024-05-28 05:03:00",69.08,66.92,92.85
"2024-05-28 15:51:00",78.08,53.06,41.94
"2024-05-29 02:51:00",62.96,54.99,75.36
"2024-05-29 13:51:00",71.96,51.03,47.81
"2024-05-29 21:51:00",60.08,57.9,92.58
"2024-05-30 04:31:00",59,NaN,NaN
"2024-05-30 07:46:00",57.2,NaN,NaN
"2024-05-30 13:51:00",69.98,48.85,47.19
"2024-05-31 00:51:00",62.06,47.93,60.03
